eventID,edep
225,56.64734
226,23.616388
227,23.761675
228,36.104393
229,19.79623
230,35.665157
231,17.736315
232,34.116558
233,23.804335
234,34.942657
235,29.35531
236,21.209494
237,110.889946
238,35.744724
239,30.063229
240,35.102493
241,24.486666
242,19.21596
243,44.110588
244,23.036263
245,21.02159
246,37.23917
247,31.630798
248,26.463764
249,30.197966
250,22.143215
251,26.221998
252,25.542875
253,28.454933
254,46.849293
255,60.890015
256,32.198177
257,27.570288
258,30.839766
259,23.108376
260,39.014072
261,23.268427
262,24.981255
263,65.340096
264,27.138813
265,45.08267
266,35.437874
267,28.06937
268,20.993162
269,44.104084
270,29.700367
271,28.822346
272,21.71887
273,32.017395
274,27.022633
275,30.160929
276,29.238956
277,30.056822
278,20.573307
279,32.98471
280,24.685843
281,41.491043
282,38.32492
283,26.91985
284,19.668913
285,17.687473
286,22.015457
287,61.94665
288,22.994755
289,32.67781
290,18.423655
291,24.518312
292,21.633696
293,23.55346
294,25.763563
295,17.722422
296,22.839252
297,22.620052
298,20.385807
299,20.81185
300,27.823011
301,49.67015
302,39.786385
303,31.29267
304,22.367226
305,29.379038
306,29.318336
307,22.195015
308,33.55649
309,33.029453
310,24.35694
311,33.263855
312,24.822918
313,24.546453
314,43.541786
315,27.238827
316,36.573395
317,24.686155
318,29.863497
319,25.5321
320,17.31399
321,37.191406
322,27.446657
323,43.067314
324,19.10595
325,59.31244
326,33.99976
327,23.909224
328,18.359865
329,21.245268
330,29.02643
331,27.859158
332,17.691616
333,25.372074
334,22.6111
335,30.0787
336,23.85294
337,30.178991
338,30.0839
339,23.01971
340,50.925205
341,29.741295
342,37.228386
343,36.23365
344,25.158112
345,25.379034
346,24.270262
347,22.041597
348,24.469782
349,91.174774
350,34.73214
351,25.466454
352,32.824795
353,19.717035
354,25.693386
355,27.306894
356,50.930733
357,22.965923
358,25.45746
359,26.562248
360,52.74845
361,25.122763
362,19.429882
363,27.82194
364,27.779469
365,69.55592
366,27.91011
367,21.98787
368,28.442749
369,36.715824
370,40.18254
371,32.53099
372,24.535269
373,26.545002
374,111.278
375,31.842873
376,65.988205
377,31.37492
378,33.413383
379,25.059313
380,20.674646
381,37.975773
382,23.26484
383,26.200941
384,23.730753
385,28.2938
386,33.509148
387,29.3392
388,32.787716
389,33.7204
390,21.353798
391,31.279278
392,27.267174
393,20.910381
394,24.254808
395,25.016897
396,30.742647
397,31.229563
398,23.75437
399,23.244513
400,133.12793
401,24.349134
402,42.86707
403,21.121546
404,23.492708
405,30.942947
406,14.244866
407,28.874582
408,19.389227
409,36.66587
410,32.859318
411,30.476973
412,41.152054
413,25.96309
414,31.001163
415,37.772118
416,26.40339
417,31.041418
418,23.872704
419,35.049465
420,20.318798
421,30.78834
422,29.62604
423,29.631235
424,101.998245
425,40.173862
426,23.238089
427,28.077166
428,30.979273
429,68.06391
430,37.763042
431,35.372593
432,26.731195
433,74.792435
434,23.769289
435,23.033482
436,47.23579
437,31.47788
438,36.421104
439,63.83977
440,25.468843
441,28.09763
442,29.363558
443,60.092655
444,25.590992
445,22.125221
446,21.330545
447,26.30403
448,31.734112
449,29.925346
450,23.197863
451,24.567352
452,25.265379
453,26.040913
454,48.40107
455,31.175295
456,34.91792
457,147.5965
458,18.54813
459,22.460064
460,104.59323
461,23.375454
462,33.151875
463,60.64647
464,28.97481
465,23.8101
466,16.58875
467,26.152742
468,87.44033
469,21.781597
470,37.443073
471,31.158688
472,26.746548
473,24.201008
474,26.523787
475,22.221632
476,227.04456
477,21.802364
478,19.490671
479,27.240423
480,29.86947
481,29.280634
482,25.227253
483,27.433485
484,32.573536
485,21.862106
486,30.436083
487,19.644306
488,45.327328
489,20.469337
490,41.190388
491,27.905025
492,28.639301
493,23.10147
494,26.464895
495,27.922533
496,20.389832
497,49.623722
498,26.61394
499,39.947983
500,32.752544
501,28.04395
502,42.673103
503,23.999487
504,19.917427
505,21.229021
506,25.359411
507,31.205809
508,22.691528
509,22.385948
510,34.060627
511,41.592434
512,138.66403
513,27.162926
514,36.33558
515,26.555677
516,26.52933
517,29.783695
518,20.810534
519,32.187138
520,150.46962
521,24.39985
522,41.03787
523,53.501785
524,28.902489
525,25.371193
526,28.317333
527,24.481012
528,32.441902
529,29.284689
530,31.438232
531,28.362473
532,37.98706
533,23.133335
534,38.775726
535,23.325407
536,23.879126
537,19.163418
538,31.99263
539,27.476864
540,25.545057
541,23.228563
542,20.96135
543,22.884647
544,25.861752
545,35.071865
546,20.872208
547,33.480026
548,23.654652
549,32.53349
550,25.349611
551,24.460943
552,26.391972
553,24.560118
554,29.14062
555,33.53683
556,26.61564
557,21.26801
558,23.538515
559,31.524967
560,32.633312
561,14.400485
562,37.36328
563,20.190575
564,23.531162
565,34.2992
566,30.017256
567,19.599625
568,31.34106
569,19.175823
570,40.83229
571,22.948502
572,32.18567
573,25.141005
